,CustomerID,recency,frequency,monetary,rq,fq,mq,r_total,rfm_score,segment_5,segment_3,segment_4
41,12871,83,2,380.64,2,2,2,6,222,Hibernating,low,Hibernating
42,12872,326,2,599.97,1,2,2,5,122,Hibernating,low,Hibernating
43,12873,281,1,374.0,1,1,2,4,112,Hibernating,low,Hibernating
44,12875,142,2,343.2300000000001,2,2,2,6,222,Hibernating,low,Hibernating
45,12877,3,12,1535.77,4,4,3,11,443,Champions,high,Best of the Best
46,12878,235,2,854.99,1,2,3,6,123,Hibernating,low,Hibernating
47,12879,44,3,573.22,3,3,2,8,332,Potential Loyalists,moderate,High Potential
48,12881,275,1,298.0,1,1,1,3,111,Hibernating,low,Hibernating
49,12882,8,2,1463.04,4,2,3,9,423,New Customers,moderate,High Potential
50,12883,24,4,703.47,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
51,12884,87,1,309.05,2,1,2,5,212,Hibernating,low,Hibernating
52,12885,62,3,1175.22,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
53,12886,67,2,1378.4,2,2,3,7,223,Hibernating,moderate,Hibernating
54,12888,213,2,354.12,1,2,2,5,122,Hibernating,low,Hibernating
55,12890,23,1,380.46999999999997,3,1,2,6,312,New Customers,low,High Potential
56,12891,185,3,331.0,1,3,2,6,132,Can't Loose Them,low,Can't Loose Them
57,12893,30,1,188.14,3,1,1,5,311,New Customers,low,High Potential
58,12895,41,2,372.8,3,2,2,7,322,New Customers,moderate,High Potential
59,12897,204,2,216.5,1,2,1,4,121,Hibernating,low,Hibernating
60,12901,8,28,17654.54,4,4,4,12,444,Champions,high,Best of the Best
61,12902,264,1,138.68,1,1,1,3,111,Hibernating,low,Hibernating
62,12904,17,2,509.58000000000004,4,2,2,8,422,New Customers,moderate,High Potential
63,12906,11,5,2919.81,4,3,4,11,434,Potential Loyalists,high,Best of the Best
64,12908,175,2,750.0,1,2,3,6,123,Hibernating,low,Hibernating
65,12909,39,5,2178.67,3,3,4,10,334,Potential Loyalists,high,Best of the Best
66,12910,22,8,3075.04,3,4,4,11,344,Potential Loyalists,high,Best of the Best
67,12912,2,5,1662.3,4,3,4,11,434,Potential Loyalists,high,Best of the Best
68,12913,4,5,2483.63,4,3,4,11,434,Potential Loyalists,high,Best of the Best
69,12915,148,2,363.65,1,2,2,5,122,Hibernating,low,Hibernating
70,12916,138,4,3006.15,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
71,12917,127,1,594.0,2,1,2,5,212,Hibernating,low,Hibernating
72,12919,7,6,1335.19,4,4,3,11,443,Champions,high,Best of the Best
73,12920,16,1,164.23,4,1,1,6,411,New Customers,low,High Potential
74,12921,8,37,16587.09,4,4,4,12,444,Champions,high,Best of the Best
75,12922,160,1,405.38,1,1,2,4,112,Hibernating,low,Hibernating
76,12923,63,1,176.97,2,1,1,4,211,Hibernating,low,Hibernating
77,12924,87,4,933.7,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
78,12925,4,2,694.05,4,2,3,9,423,New Customers,moderate,High Potential
79,12928,34,5,2062.7000000000003,3,3,4,10,334,Potential Loyalists,high,Best of the Best
80,12929,311,1,117.85,1,1,1,3,111,Hibernating,low,Hibernating
81,12930,77,2,415.8,2,2,2,6,222,Hibernating,low,Hibernating
82,12931,21,15,42055.96,3,4,4,11,344,Potential Loyalists,high,Best of the Best
83,12933,23,3,607.53,3,3,2,8,332,Potential Loyalists,moderate,High Potential
84,12935,1,7,2160.7,4,4,4,12,444,Champions,high,Best of the Best
85,12936,16,4,1063.9,4,3,3,10,433,Potential Loyalists,high,Best of the Best
86,12937,14,4,1504.27,4,3,3,10,433,Potential Loyalists,high,Best of the Best
87,12938,25,1,114.14,3,1,1,5,311,New Customers,low,High Potential
88,12939,63,8,11581.8,2,4,4,10,244,Can't Loose Them,high,Can't Loose Them
89,12940,54,2,913.54,2,2,3,7,223,Hibernating,moderate,Hibernating
90,12942,130,3,683.9,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
91,12944,35,2,604.51,3,2,2,7,322,New Customers,moderate,High Potential
92,12945,287,1,462.95,1,1,2,4,112,Hibernating,low,Hibernating
93,12947,143,6,1603.99,1,4,4,9,144,Can't Loose Them,moderate,Can't Loose Them
94,12948,15,7,2064.95,4,4,4,12,444,Champions,high,Best of the Best
95,12949,30,8,4167.22,3,4,4,11,344,Potential Loyalists,high,Best of the Best
96,12950,1,3,1843.0,4,3,4,11,434,Potential Loyalists,high,Best of the Best
97,12951,8,6,1064.07,4,4,3,11,443,Champions,high,Best of the Best
98,12952,5,4,1387.79,4,3,3,10,433,Potential Loyalists,high,Best of the Best
99,12953,9,1,329.85,4,1,2,7,412,New Customers,moderate,High Potential
100,12955,0,11,4757.16,4,4,4,12,444,Champions,high,Best of the Best
101,12956,305,1,108.07,1,1,1,3,111,Hibernating,low,Hibernating
102,12957,9,8,4017.54,4,4,4,12,444,Champions,high,Best of the Best
103,12962,6,2,266.39,4,2,1,7,421,New Customers,moderate,High Potential
104,12963,7,8,1856.63,4,4,4,12,444,Champions,high,Best of the Best
105,12965,88,1,771.91,2,1,3,6,213,Hibernating,low,Hibernating
106,12966,9,1,160.18,4,1,1,6,411,New Customers,low,High Potential
107,12967,357,2,1660.9,1,2,4,7,124,Hibernating,moderate,Hibernating
108,12968,111,1,135.95,2,1,1,4,211,Hibernating,low,Hibernating
109,12970,6,4,452.24,4,3,2,9,432,Potential Loyalists,moderate,High Potential
110,12971,3,86,11189.91,4,4,4,12,444,Champions,high,Best of the Best
111,12974,197,1,144.8,1,1,1,3,111,Hibernating,low,Hibernating
112,12976,211,1,738.6,1,1,3,5,113,Hibernating,low,Hibernating
113,12977,155,1,39.239999999999995,1,1,1,3,111,Hibernating,low,Hibernating
114,12980,157,9,7374.9,1,4,4,9,144,Can't Loose Them,moderate,Can't Loose Them
115,12981,29,2,372.21999999999997,3,2,2,7,322,New Customers,moderate,High Potential
116,12982,242,1,390.54,1,1,2,4,112,Hibernating,low,Hibernating
117,12984,18,1,97.5,3,1,1,5,311,New Customers,low,High Potential
118,12985,0,2,1239.38,4,2,3,9,423,New Customers,moderate,High Potential
119,12987,73,2,558.7,2,2,2,6,222,Hibernating,low,Hibernating
120,12988,291,1,535.32,1,1,2,4,112,Hibernating,low,Hibernating
121,12989,2,15,6924.110000000001,4,4,4,12,444,Champions,high,Best of the Best
122,12990,30,3,409.5,3,3,2,8,332,Potential Loyalists,moderate,High Potential
123,12991,22,2,503.76,3,2,2,7,322,New Customers,moderate,High Potential
124,12993,22,4,414.76,3,3,2,8,332,Potential Loyalists,moderate,High Potential
125,12994,3,3,974.4200000000001,4,3,3,10,433,Potential Loyalists,high,Best of the Best
126,12995,84,1,211.32000000000002,2,1,1,4,211,Hibernating,low,Hibernating
127,12997,21,4,1226.89,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
128,12999,195,3,455.88,1,3,2,6,132,Can't Loose Them,low,Can't Loose Them
129,13000,106,3,534.85,2,3,2,7,232,Can't Loose Them,moderate,Can't Loose Them
130,13001,3,13,9818.82,4,4,4,12,444,Champions,high,Best of the Best
131,13002,317,1,120.94999999999997,1,1,1,3,111,Hibernating,low,Hibernating
132,13003,105,3,149.05,2,3,1,6,231,Can't Loose Them,low,Can't Loose Them
133,13004,11,18,5655.910000000001,4,4,4,12,444,Champions,high,Best of the Best
134,13005,173,2,513.7,1,2,2,5,122,Hibernating,low,Hibernating
135,13006,55,1,81.57,2,1,1,4,211,Hibernating,low,Hibernating
136,13008,322,1,229.46999999999997,1,1,1,3,111,Hibernating,low,Hibernating
137,13011,371,1,50.550000000000004,1,1,1,3,111,Hibernating,low,Hibernating
138,13012,8,8,1661.8400000000001,4,4,4,12,444,Champions,high,Best of the Best
139,13013,0,13,4810.9400000000005,4,4,4,12,444,Champions,high,Best of the Best
140,13014,10,10,3466.2799999999997,4,4,4,12,444,Champions,high,Best of the Best
141,13015,52,5,3346.28,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
142,13016,72,3,789.89,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
143,13017,6,1,204.0,4,1,1,6,411,New Customers,low,High Potential
144,13018,15,28,7277.7,4,4,4,12,444,Champions,high,Best of the Best
145,13021,3,9,2616.38,4,4,4,12,444,Champions,high,Best of the Best
146,13023,63,2,689.9,2,2,3,7,223,Hibernating,moderate,Hibernating
147,13026,0,5,975.36,4,3,3,10,433,Potential Loyalists,high,Best of the Best
148,13027,113,6,6912.0,2,4,4,10,244,Can't Loose Them,high,Can't Loose Them
149,13028,22,2,661.3199999999999,3,2,3,8,323,New Customers,moderate,High Potential
150,13029,30,3,1247.5,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
151,13030,10,2,799.48,4,2,3,9,423,New Customers,moderate,High Potential
152,13032,51,2,1010.18,2,2,3,7,223,Hibernating,moderate,Hibernating
153,13033,356,1,190.55,1,1,1,3,111,Hibernating,low,Hibernating
154,13034,54,2,642.77,2,2,2,6,222,Hibernating,low,Hibernating
155,13035,73,2,921.88,2,2,3,7,223,Hibernating,moderate,Hibernating
156,13037,137,3,881.07,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
157,13038,79,3,908.46,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
158,13040,8,2,676.99,4,2,3,9,423,New Customers,moderate,High Potential
159,13043,272,1,516.42,1,1,2,4,112,Hibernating,low,Hibernating
160,13044,290,1,560.47,1,1,2,4,112,Hibernating,low,Hibernating
161,13045,98,1,305.28000000000003,2,1,2,5,212,Hibernating,low,Hibernating
162,13046,30,2,629.31,3,2,2,7,322,New Customers,moderate,High Potential
163,13047,31,10,3237.54,3,4,4,11,344,Potential Loyalists,high,Best of the Best
164,13048,13,4,1835.91,4,3,4,11,434,Potential Loyalists,high,Best of the Best
165,13049,63,2,656.6800000000001,2,2,3,7,223,Hibernating,moderate,Hibernating
166,13050,14,17,5836.860000000001,4,4,4,12,444,Champions,high,Best of the Best
167,13052,211,1,348.15000000000003,1,1,2,4,112,Hibernating,low,Hibernating
168,13055,77,3,1214.41,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
169,13058,24,3,271.40000000000003,3,3,1,7,331,Potential Loyalists,moderate,High Potential
170,13059,249,1,183.4,1,1,1,3,111,Hibernating,low,Hibernating
171,13060,253,1,307.53,1,1,2,4,112,Hibernating,low,Hibernating
172,13061,71,1,248.61000000000004,2,1,1,4,211,Hibernating,low,Hibernating
173,13062,190,1,346.98,1,1,2,4,112,Hibernating,low,Hibernating
174,13064,12,4,1119.49,4,3,3,10,433,Potential Loyalists,high,Best of the Best
175,13065,372,1,205.85999999999999,1,1,1,3,111,Hibernating,low,Hibernating
176,13066,23,2,470.8,3,2,2,7,322,New Customers,moderate,High Potential
177,13067,81,1,115.46000000000001,2,1,1,4,211,Hibernating,low,Hibernating
178,13068,9,2,344.0,4,2,2,8,422,New Customers,moderate,High Potential
179,13069,0,24,4436.12,4,4,4,12,444,Champions,high,Best of the Best
180,13070,191,1,228.80000000000004,1,1,1,3,111,Hibernating,low,Hibernating
181,13072,266,1,177.15,1,1,1,3,111,Hibernating,low,Hibernating
182,13075,129,1,919.6100000000001,2,1,3,6,213,Hibernating,low,Hibernating
183,13077,0,4,729.2699999999999,4,3,3,10,433,Potential Loyalists,high,Best of the Best
184,13078,2,26,12627.94,4,4,4,12,444,Champions,high,Best of the Best
185,13079,3,5,220.10000000000002,4,3,1,8,431,Potential Loyalists,moderate,High Potential
186,13080,178,1,58.080000000000005,1,1,1,3,111,Hibernating,low,Hibernating
187,13081,11,11,28337.38,4,4,4,12,444,Champions,high,Best of the Best
188,13082,125,9,3613.6299999999997,2,4,4,10,244,Can't Loose Them,high,Can't Loose Them
189,13083,3,2,303.75,4,2,2,8,422,New Customers,moderate,High Potential
190,13085,157,2,416.08,1,2,2,5,122,Hibernating,low,Hibernating
191,13089,2,97,58825.83,4,4,4,12,444,Champions,high,Best of the Best
192,13090,8,14,8910.82,4,4,4,12,444,Champions,high,Best of the Best
193,13091,27,1,345.82,3,1,2,6,312,New Customers,low,High Potential
194,13092,70,5,477.83,2,3,2,7,232,Can't Loose Them,moderate,Can't Loose Them
195,13093,275,8,7832.47,1,4,4,9,144,Can't Loose Them,moderate,Can't Loose Them
196,13094,20,12,1927.3200000000004,3,4,4,11,344,Potential Loyalists,high,Best of the Best
197,13095,70,1,74.39999999999999,2,1,1,4,211,Hibernating,low,Hibernating
198,13097,32,10,6010.42,3,4,4,11,344,Potential Loyalists,high,Best of the Best
199,13098,0,28,28882.44,4,4,4,12,444,Champions,high,Best of the Best
200,13099,98,1,207.35999999999999,2,1,1,4,211,Hibernating,low,Hibernating
201,13101,233,1,101.19,1,1,1,3,111,Hibernating,low,Hibernating
202,13102,0,24,6424.09,4,4,4,12,444,Champions,high,Best of the Best
203,13103,39,1,243.94,3,1,1,5,311,New Customers,low,High Potential
204,13104,2,6,1098.48,4,4,3,11,443,Champions,high,Best of the Best
205,13106,132,1,76.5,2,1,1,4,211,Hibernating,low,Hibernating
206,13107,43,4,1531.6200000000001,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
207,13108,372,1,350.06,1,1,2,4,112,Hibernating,low,Hibernating
208,13109,59,2,786.54,2,2,3,7,223,Hibernating,moderate,Hibernating
209,13110,30,7,1488.67,3,4,3,10,343,Potential Loyalists,high,Best of the Best
210,13113,0,24,12245.96,4,4,4,12,444,Champions,high,Best of the Best
211,13115,11,4,2294.78,4,3,4,11,434,Potential Loyalists,high,Best of the Best
212,13116,137,1,501.14,2,1,2,5,212,Hibernating,low,Hibernating
213,13117,21,8,984.9100000000001,3,4,3,10,343,Potential Loyalists,high,Best of the Best
214,13118,19,5,1197.81,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
215,13120,238,1,30.599999999999998,1,1,1,3,111,Hibernating,low,Hibernating
216,13121,268,1,283.73,1,1,1,3,111,Hibernating,low,Hibernating
217,13122,93,2,922.39,2,2,3,7,223,Hibernating,moderate,Hibernating
218,13124,89,3,3866.33,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
219,13126,4,8,2099.64,4,4,4,12,444,Champions,high,Best of the Best
220,13127,77,1,259.17,2,1,1,4,211,Hibernating,low,Hibernating
221,13130,93,1,64.0,2,1,1,4,211,Hibernating,low,Hibernating
222,13131,22,3,1073.3,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
223,13132,261,1,77.3,1,1,1,3,111,Hibernating,low,Hibernating
224,13133,273,2,109.8,1,2,1,4,121,Hibernating,low,Hibernating
225,13134,85,4,1793.58,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
226,13135,196,1,3096.0,1,1,4,6,114,Hibernating,low,Hibernating
227,13136,55,5,2607.61,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
228,13137,10,8,3650.4099999999994,4,4,4,12,444,Champions,high,Best of the Best
229,13138,21,6,962.39,3,4,3,10,343,Potential Loyalists,high,Best of the Best
230,13139,15,7,5064.94,4,4,4,12,444,Champions,high,Best of the Best
231,13140,107,3,423.7200000000001,2,3,2,7,232,Can't Loose Them,moderate,Can't Loose Them
232,13141,84,5,2388.75,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
233,13142,18,1,307.09,3,1,2,6,312,New Customers,low,High Potential
234,13144,332,1,110.95,1,1,1,3,111,Hibernating,low,Hibernating
235,13145,39,4,618.52,3,3,2,8,332,Potential Loyalists,moderate,High Potential
236,13146,25,1,228.91,3,1,1,5,311,New Customers,low,High Potential
237,13147,9,4,712.8000000000001,4,3,3,10,433,Potential Loyalists,high,Best of the Best
238,13148,28,12,3707.12,3,4,4,11,344,Potential Loyalists,high,Best of the Best
239,13149,13,4,1676.06,4,3,4,11,434,Potential Loyalists,high,Best of the Best
240,13151,295,1,1257.8700000000001,1,1,3,5,113,Hibernating,low,Hibernating
241,13153,5,1,486.22,4,1,2,7,412,New Customers,moderate,High Potential
242,13155,32,4,971.7600000000001,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
243,13157,48,4,1741.2200000000003,3,3,4,10,334,Potential Loyalists,high,Best of the Best
244,13158,94,4,1201.06,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
245,13159,8,4,1437.85,4,3,3,10,433,Potential Loyalists,high,Best of the Best
246,13160,21,1,91.8,3,1,1,5,311,New Customers,low,High Potential
247,13161,312,1,112.75,1,1,1,3,111,Hibernating,low,Hibernating
248,13162,121,4,1688.29,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
249,13165,45,2,1021.4800000000001,3,2,3,8,323,New Customers,moderate,High Potential
250,13166,282,1,417.20000000000005,1,1,2,4,112,Hibernating,low,Hibernating
251,13167,18,4,791.33,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
252,13168,35,4,1319.19,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
253,13169,63,2,712.88,2,2,3,7,223,Hibernating,moderate,Hibernating
254,13170,26,1,116.00999999999999,3,1,1,5,311,New Customers,low,High Potential
255,13171,21,3,468.41,3,3,2,8,332,Potential Loyalists,moderate,High Potential
256,13173,3,2,353.65,4,2,2,8,422,New Customers,moderate,High Potential
257,13174,15,3,2817.03,4,3,4,11,434,Potential Loyalists,high,Best of the Best
258,13176,45,1,492.8399999999999,3,1,2,6,312,New Customers,low,High Potential
259,13177,64,1,282.45,2,1,1,4,211,Hibernating,low,Hibernating
260,13178,25,11,5725.47,3,4,4,11,344,Potential Loyalists,high,Best of the Best
261,13182,44,1,121.18,3,1,1,5,311,New Customers,low,High Potential
262,13183,7,9,3957.78,4,4,4,12,444,Champions,high,Best of the Best
263,13184,14,10,1701.29,4,4,4,12,444,Champions,high,Best of the Best
264,13185,267,1,71.4,1,1,1,3,111,Hibernating,low,Hibernating
265,13186,39,3,1575.89,3,3,4,10,334,Potential Loyalists,high,Best of the Best
266,13187,336,1,236.01999999999998,1,1,1,3,111,Hibernating,low,Hibernating
267,13188,10,1,114.60000000000001,4,1,1,6,411,New Customers,low,High Potential
268,13189,18,2,260.68,3,2,1,6,321,New Customers,low,High Potential
269,13192,94,2,911.94,2,2,3,7,223,Hibernating,moderate,Hibernating
270,13193,60,1,117.88,2,1,1,4,211,Hibernating,low,Hibernating
271,13194,135,1,60.70000000000001,2,1,1,4,211,Hibernating,low,Hibernating
272,13196,10,4,1797.78,4,3,4,11,434,Potential Loyalists,high,Best of the Best
273,13198,9,6,3401.2400000000007,4,4,4,12,444,Champions,high,Best of the Best
274,13199,3,38,9817.12,4,4,4,12,444,Champions,high,Best of the Best
275,13200,18,4,870.09,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
276,13203,9,4,869.46,4,3,3,10,433,Potential Loyalists,high,Best of the Best
277,13207,14,2,250.26000000000002,4,2,1,7,421,New Customers,moderate,High Potential
278,13208,58,6,1223.9,2,4,3,9,243,Can't Loose Them,moderate,Can't Loose Them
279,13209,29,8,5891.61,3,4,4,11,344,Potential Loyalists,high,Best of the Best
280,13210,93,1,353.48,2,1,2,5,212,Hibernating,low,Hibernating
281,13211,9,3,1197.42,4,3,3,10,433,Potential Loyalists,high,Best of the Best
282,13212,19,3,788.08,3,3,3,9,333,Potential Loyalists,moderate,Best of the Best
283,13213,56,5,1520.5799999999997,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
284,13216,267,1,333.74,1,1,2,4,112,Hibernating,low,Hibernating
285,13217,121,3,533.98,2,3,2,7,232,Can't Loose Them,moderate,Can't Loose Them
286,13218,126,1,62.64,2,1,1,4,211,Hibernating,low,Hibernating
287,13220,77,4,819.29,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
288,13221,239,2,847.41,1,2,3,6,123,Hibernating,low,Hibernating
289,13223,199,2,163.20000000000002,1,2,1,4,121,Hibernating,low,Hibernating
290,13224,59,2,2155.95,2,2,4,8,224,Hibernating,moderate,Hibernating
291,13225,2,7,6463.84,4,4,4,12,444,Champions,high,Best of the Best
292,13226,272,1,108.21000000000001,1,1,1,3,111,Hibernating,low,Hibernating
293,13227,201,1,257.7,1,1,1,3,111,Hibernating,low,Hibernating
294,13228,80,1,358.0,2,1,2,5,212,Hibernating,low,Hibernating
295,13229,225,1,160.95,1,1,1,3,111,Hibernating,low,Hibernating
296,13230,3,14,2806.97,4,4,4,12,444,Champions,high,Best of the Best
297,13232,12,7,1357.5999999999997,4,4,3,11,443,Champions,high,Best of the Best
298,13233,73,2,605.12,2,2,2,6,222,Hibernating,low,Hibernating
299,13235,211,1,1031.07,1,1,3,5,113,Hibernating,low,Hibernating
300,13236,23,2,744.85,3,2,3,8,323,New Customers,moderate,High Potential
301,13238,16,4,700.73,4,3,3,10,433,Potential Loyalists,high,Best of the Best
302,13239,261,1,329.56,1,1,2,4,112,Hibernating,low,Hibernating
303,13240,95,4,663.65,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
304,13242,111,3,270.40000000000003,2,3,1,6,231,Can't Loose Them,low,Can't Loose Them
305,13243,202,1,600.07,1,1,2,4,112,Hibernating,low,Hibernating
306,13244,92,1,121.74000000000002,2,1,1,4,211,Hibernating,low,Hibernating
307,13245,50,1,430.5,3,1,2,6,312,New Customers,low,High Potential
308,13246,17,6,1987.3,4,4,4,12,444,Champions,high,Best of the Best
309,13247,17,4,501.12,4,3,2,9,432,Potential Loyalists,moderate,High Potential
310,13248,124,2,465.68,2,2,2,6,222,Hibernating,low,Hibernating
311,13249,91,3,711.41,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
312,13253,156,2,1030.4,1,2,3,6,123,Hibernating,low,Hibernating
313,13255,8,2,399.51,4,2,2,8,422,New Customers,moderate,High Potential
314,13258,11,3,698.58,4,3,3,10,433,Potential Loyalists,high,Best of the Best
315,13259,61,1,292.32,2,1,1,4,211,Hibernating,low,Hibernating
316,13260,60,1,557.62,2,1,2,5,212,Hibernating,low,Hibernating
317,13261,268,2,944.0999999999999,1,2,3,6,123,Hibernating,low,Hibernating
318,13262,262,1,200.29,1,1,1,3,111,Hibernating,low,Hibernating
319,13263,0,35,7454.069999999999,4,4,4,12,444,Champions,high,Best of the Best
320,13265,52,5,2107.66,2,3,4,9,234,Can't Loose Them,moderate,Can't Loose Them
321,13266,10,12,3834.2599999999998,4,4,4,12,444,Champions,high,Best of the Best
322,13267,2,19,4521.49,4,4,4,12,444,Champions,high,Best of the Best
323,13268,17,11,3214.69,4,4,4,12,444,Champions,high,Best of the Best
324,13269,0,15,5346.2300000000005,4,4,4,12,444,Champions,high,Best of the Best
325,13270,365,1,590.0,1,1,2,4,112,Hibernating,low,Hibernating
326,13271,36,1,217.38,3,1,1,5,311,New Customers,low,High Potential
327,13272,30,2,276.56,3,2,1,6,321,New Customers,low,High Potential
328,13273,112,1,138.98,2,1,1,4,211,Hibernating,low,Hibernating
329,13276,63,2,590.9300000000001,2,2,2,6,222,Hibernating,low,Hibernating
330,13277,15,4,258.4,4,3,1,8,431,Potential Loyalists,moderate,High Potential
331,13278,40,1,542.73,3,1,2,6,312,New Customers,low,High Potential
332,13279,77,1,137.75,2,1,1,4,211,Hibernating,low,Hibernating
333,13280,121,3,814.86,2,3,3,8,233,Can't Loose Them,moderate,Can't Loose Them
334,13282,17,3,1132.14,4,3,3,10,433,Potential Loyalists,high,Best of the Best
335,13283,59,2,93.66,2,2,1,5,221,Hibernating,low,Hibernating
336,13284,330,1,201.19,1,1,1,3,111,Hibernating,low,Hibernating
337,13285,22,4,2709.12,3,3,4,10,334,Potential Loyalists,high,Best of the Best
338,13291,155,1,361.11,1,1,2,4,112,Hibernating,low,Hibernating
339,13292,38,2,578.9399999999999,3,2,2,7,322,New Customers,moderate,High Potential
340,13294,189,2,873.74,1,2,3,6,123,Hibernating,low,Hibernating
341,13295,359,1,201.20000000000002,1,1,1,3,111,Hibernating,low,Hibernating
342,13296,136,1,87.4,2,1,1,4,211,Hibernating,low,Hibernating
343,13297,7,4,2089.85,4,3,4,11,434,Potential Loyalists,high,Best of the Best
344,13298,0,1,360.0,4,1,2,7,412,New Customers,moderate,High Potential
345,13299,267,1,142.5,1,1,1,3,111,Hibernating,low,Hibernating
346,13300,168,1,371.89,1,1,2,4,112,Hibernating,low,Hibernating
347,13301,103,4,618.09,2,3,2,7,232,Can't Loose Them,moderate,Can't Loose Them
